"";"levelName";"pathString";"word"
"38";" ¦   ¦--f125c7c7-942a-4cf0-a409-3401a8d24348        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/f125c7c7-942a-4cf0-a409-3401a8d24348";"future"
"39";" ¦   ¦--03862699-0f98-4701-a8a0-6aa51d363134        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/03862699-0f98-4701-a8a0-6aa51d363134";"fuck"
"40";" ¦   ¦--1486ee9a-2479-4e08-b6ae-026addd94df2        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/1486ee9a-2479-4e08-b6ae-026addd94df2";"hell"
"41";" ¦   ¦--799164eb-a7fd-4ea1-86f8-15e7530d98ae        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/799164eb-a7fd-4ea1-86f8-15e7530d98ae";"great"
"42";" ¦   ¦--661ba570-82f1-4f73-b2a6-203dded15a21        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/661ba570-82f1-4f73-b2a6-203dded15a21";"top"
"43";" ¦   ¦--a35fad10-36e6-40b2-ad0f-6306289a147b        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/a35fad10-36e6-40b2-ad0f-6306289a147b";"week"
"44";" ¦   ¦--0c647df0-2505-4f47-9d4f-f5cda9a51920        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/0c647df0-2505-4f47-9d4f-f5cda9a51920";"gym"
"45";" ¦   ¦--1d96126a-3760-4713-b538-9ad7141840f9        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/1d96126a-3760-4713-b538-9ad7141840f9";"sun"
"46";" ¦   ¦--c03ca089-c915-4234-bf17-b90d12236850        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/c03ca089-c915-4234-bf17-b90d12236850";"city"
"47";" ¦   ¦--5f27de3c-cf56-4d68-bff3-c99e02ed965a        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/5f27de3c-cf56-4d68-bff3-c99e02ed965a";"real"
"48";" ¦   ¦--2f1d2a61-bb98-4aca-8862-248a8085a480        ";"4ed8cec1-d8fc-4045-b44f-811af84983d2/fccb387a-641a-4a0e-bdee-f74dfaf1c112/2f1d2a61-bb98-4aca-8862-248a8085a480";"truth"
